FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,IS_DELAYED,DAY_OF_WEEK,MONTH,YEAR,DEP_HOUR,DEP_MINUTE,AIRLINE_NUM,MAJOR_ORIGIN,MAJOR_DEST,DISTANCE_CAT
2022-05-13T00:00:00.000000000Z,Envoy Air,Envoy Air: MQ,MQ,20398,3625,STL,"St. Louis, MO",AUS,"Austin, TX",1020,1010.0,-10.0,10.0,1020.0,1159.0,10.0,1231,1209.0,-22.0,0.0,B,0.0,131.0,119.0,99.0,721.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,5,2022,10,20,13,0,1,1
2022-04-22T00:00:00.000000000Z,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,718,DFW,"Dallas/Fort Worth, TX",LGA,"New York, NY",746,746.0,0.0,18.0,804.0,1204.0,9.0,1200,1213.0,13.0,0.0,B,0.0,194.0,207.0,180.0,1389.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,4,2022,7,46,2,1,1,2
2019-02-25T00:00:00.000000000Z,Republic Airline,Republic Airline: YX,YX,20452,3525,DCA,"Washington, DC",IAH,"Houston, TX",1750,1800.0,10.0,20.0,1820.0,2052.0,5.0,2032,2057.0,25.0,0.0,B,0.0,222.0,237.0,212.0,1208.0,0.0,0.0,15.0,0.0,10.0,1,0,2,2019,17,50,5,1,1,2
2023-03-09T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1798,BUR,"Burbank, CA",PHX,"Phoenix, AZ",1634,1624.0,-10.0,18.0,1642.0,1848.0,7.0,1909,1855.0,-14.0,0.0,B,0.0,95.0,91.0,66.0,369.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,3,3,2023,16,34,4,0,1,0
2019-08-01T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1627,SFO,"San Francisco, CA",PHX,"Phoenix, AZ",1420,1514.0,54.0,34.0,1548.0,1735.0,5.0,1625,1740.0,75.0,0.0,B,0.0,125.0,146.0,107.0,651.0,0.0,0.0,21.0,0.0,54.0,1,3,8,2019,14,20,3,1,1,1
2022-08-19T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,660,LAS,"Las Vegas, NV",ATL,"Atlanta, GA",1337,1450.0,73.0,29.0,1519.0,2135.0,18.0,2040,2153.0,73.0,0.0,B,0.0,243.0,243.0,196.0,1747.0,73.0,0.0,0.0,0.0,0.0,1,4,8,2022,13,37,1,1,1,3
2022-04-07T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,694,BNA,"Nashville, TN",BDL,"Hartford, CT",1335,1331.0,-4.0,11.0,1342.0,1626.0,5.0,1650,1631.0,-19.0,0.0,B,0.0,135.0,120.0,104.0,852.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,3,4,2022,13,35,3,1,0,1
2019-06-28T00:00:00.000000000Z,Republic Airline,Republic Airline: YX,YX,20452,3460,RDU,"Raleigh/Durham, NC",EWR,"Newark, NJ",945,955.0,10.0,19.0,1014.0,1127.0,13.0,1122,1140.0,18.0,0.0,B,0.0,97.0,105.0,73.0,416.0,10.0,0.0,8.0,0.0,0.0,1,4,6,2019,9,45,5,0,1,0
2022-08-02T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,733,SMF,"Sacramento, CA",LAX,"Los Angeles, CA",1750,1746.0,-4.0,8.0,1754.0,1853.0,9.0,1920,1902.0,-18.0,0.0,B,0.0,90.0,76.0,59.0,373.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,1,8,2022,17,50,3,0,1,0
2022-11-21T00:00:00.000000000Z,Alaska Airlines Inc.,Alaska Airlines Inc.: AS,AS,19930,64,KTN,"Ketchikan, AK",SEA,"Seattle, WA",1748,1747.0,-1.0,12.0,1759.0,2035.0,9.0,2046,2044.0,-2.0,0.0,B,0.0,118.0,117.0,96.0,680.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,11,2022,17,48,6,0,1,1
2019-02-22T00:00:00.000000000Z,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,233,IND,"Indianapolis, IN",LAS,"Las Vegas, NV",650,1329.775913,10.12332618,16.64304562,1352.360989,1462.499569,7.678982184,805,1466.511162,4.26085815,1.0,A,0.0,255.0,136.6205411,112.3108396,1590.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,2,2019,6,50,3,0,1,3
2021-12-13T00:00:00.000000000Z,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1056,DFW,"Dallas/Fort Worth, TX",LGA,"New York, NY",938,930.0,-8.0,11.0,941.0,1331.0,6.0,1359,1337.0,-22.0,0.0,B,0.0,201.0,187.0,170.0,1389.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,0,12,2021,9,38,4,1,1,2
2023-08-06T00:00:00.000000000Z,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1750,MSP,"Minneapolis, MN",DCA,"Washington, DC",700,657.0,-3.0,11.0,708.0,1001.0,3.0,1024,1004.0,-20.0,0.0,B,0.0,144.0,127.0,113.0,931.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,6,8,2023,7,0,1,1,1,1
2022-08-19T00:00:00.000000000Z,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1929,ORD,"Chicago, IL",IAH,"Houston, TX",1559,1631.0,32.0,18.0,1649.0,1852.0,9.0,1848,1901.0,13.0,0.0,B,0.0,169.0,150.0,123.0,925.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,4,8,2022,15,59,0,1,1,1
2022-01-23T00:00:00.000000000Z,JetBlue Airways,JetBlue Airways: B6,B6,20409,1081,BOS,"Boston, MA",RIC,"Richmond, VA",920,916.0,-4.0,12.0,928.0,1057.0,6.0,1110,1103.0,-7.0,0.0,B,0.0,110.0,107.0,89.0,474.0,24.75908613,3.985260263,13.16472765,0.145930698,25.47128196,0,6,1,2022,9,20,7,1,0,0
